Medicine Name,Abdomen,Abdomen and Stool,Alimentary Canal,Antidotes,Aur mur kali,Back,Back and Extremities,Back and extremities,Bones,Bowels,Calc mur,Cardio-Vascular,Caution,Chest,Circulatory Organs,Compare: Aqua calcar,"Compare: Black Gunpowder 3x (Abscesses, boils, carbuncles, limb purple. Wounds that refuse to heal; accident from bad food or water","Compare: Calcar hypophosphorosa (is to be preferred when it seems necessary to furnish the organism with liberal doses of phosphorus in consequence of continued abscesses having reduced the vitality. Give first and second decimal trits. Loss of appetite, rapid debility, night sweats; Acne pustulosa",Compare: Electricitas,"Compare: Iris florentina-Orris-root--(delirium, convulsions, and paralysis); Iris factissima (headache and hernia); Iris germanica-Blue Garden Iris--(dropsy and freckles); Iris tenax-I. minor--(dry mouth; deathly sensation at point of stomach, pain in ileo-caecal region; appendicitis. Pain from adhesions after). Pancreatinum-a combination of several enzymes--(Indicated in intestinal indigestion; pain an hour or more after eating. Lienteric diarrhoea. Dose",Compare: Pimpinello--(Bibernell),"Compare: Sanguisorba (Venous congestion and passive haemorrhages; varices of lower extremities; dysentery. Long lasting profuse menses with congestion to head and limbs in sensitive, irritable patients. Climacteric haemorrhages. Use 2x attenuation). Sanguisuga","Daffodil bulbs contain an alkaloid the action of which, according to authorities, varies as to whether the alkaloid is extracted from the flowering bulb or from the bulb after flowering. Thus in the former case the alkaloid produces dryness of the mouth, checks cutaneous secretions, dilates the pupil of the eye, quickens the pulse, and slows and weakens the heart contractions. On the other hand, the alkaloid from the bulbs after flowering produces copious salivation, increases cutaneous secretion, contracts the pupil of the eye, produces slight relaxation of the pulse, and slight faintness and nausea",Doses,Ear,Ears,Extremities,Eye,Eyes,Eyes and Ears,Face,Female,Fever,Gastric,Gastro-Intestinal,Gastro-enteric Symptoms,Gastro-intestinal,General Symptoms,Genito-urinary,Head,Head and Stomach,Heart,Hyosc hydrobrom,Kidney,Liver,Magnetis Poli Ambo,Magnetis Polus Arcticus,Magnetis Polus Australis,Male,Mental,Mind,Mind and Head,Modalities,Modality,Mouth,Neck,Neck and Back,Nerves,Nervous,Nervous System,Non-Homeopathic Preparations and Uses,Non-Homeopathic Uses,Non-homeopathic Uses,Nose,Nose and throat,"On inhaling this drug, it rapidly dilates all arterioles an capillaries, producing flushings of face, heat, and throbbing in the head",Opium (crude),Physiologic Dosage,Potassium Permanganate for Morphine Poisoning,Rectum,Rectum and Stool,Respiration,Respiratory,Respiratory Organs,Sexual,Skin,Sleep,Spleen,Stomach,Stomach and Abdomen,Stool,Stool and Anus,Stools,"The remedy for hperchlorhydria. In cases where albuminoid digestion is too rapid and starch digestion is perverted. The gastric symptoms with the most pronounced acidity are well authenticated, and are the guiding symptoms. The acidity of Robinia is accompanied by frontal headache. Intensely acrid eructations. Acrid and greenish vomiting, colic and flatulence, nightly burning pains in stomach and constipation with urgent desire",Throat,Tissues,Tongue,Urinary,Urinary Organs,Urine,Uses,Vitex trifolia
LATRODECTUS MACTANS,,,,,,,,,,,,,,"Violent, praecordial pain extending to the axilla and down the arm and forearm to fingers, with numbness of the extremity. Pulse feeble and rapid. Sinking sensation at the Cramping pain from chest to abdomen.",,,,,,,,,,,,,"Pain in left arm, feels paralyzed. Weakness of legs followed by cramps in the abdominal muscles. Paraesthesia of lower limbs.",,,,,,,,,,,,,Anxiety. Screams with pain. Pain in neck to back of head. Occipital pain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extreme apnoea. Gasping respiration. Fears losing breath.,,,Coldness of whole surface. Skin cold as marble.,,,,,,,,,,,,,,,,
LATHYRUS SATIVUS,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tips of fingers numb. Tremulous, tottering gait. Excessive rigidity of legs; spastic gait. Knees knock against each other when walking. Cramps in legs worse cold, and cold feet. Cannot extend or cross legs when sitting. Myelitis, with marked spastic symptoms. Rheumatic paralysis. Gluteal muscles and lower limbs emaciated. Legs blue; swollen, if hanging down. Stiffness and lameness of ankles and knees, toe do not leave the floor, heels do not touch floor, Muscles of calves very tense. Patient sits bent forward, straightens with difficulty.",,,,,,,,,,,,,,,,,,,,,,,,Depressed; hypochondriacal. Vertigo when standing with eyes closed.,,,,"Burning pain in tip of tongue; with tingling and numbness of tongue and lips, as if scalded.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Increased bladder reflex. Frequent, must hurry, else voided involuntarily.",,
LAPIS ALBUS,,,,,,,,,,,,,,Persistent pains in mammary region. Glandular hardening.,,,,,,,,,,,,Otitis media suppurativa. Where Silica is indicated progress is hastened by Lapis (Bellows).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scrofulous abscesses and sores. Enlargement and induration of glands, especially cervical. Lipoma, sarcoma, carcinoma. Pruritus.",,,,,,,,,,,,,,,,
LAPPA ARCTIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pain in hands, knees, and ankles extending downward to fingers and toes. Pain in all joints. Eruption on extremities.",,,,,"Uterine displacements. An exceedingly sore, bruised feeling in uterus, with great relaxation of the vaginal tissues; apparently entire lack of tonicity of pelvic contents. These symptoms all aggravated by standing, walking, a misstep, or sudden jar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LACHNANTHES TINCTORIA,,,,,,Chilliness between the shoulder-blades; pain and stiffness in back.,,,,,,,,Sensation of heat-bubbling and boiling around heart region rising to head.,,,,,,,,,,,,,,,,,,,,,,,,,,"Right-sided pain, extending down to jaw; head feels enlarged; worse, least noise. Scalp painful. Sleepless. Circumscribed red cheeks; scalp feels sore, as if hair was standing on end; burning in palms and soles. Bridge of nose feels as if pinched.",,,,,,,,,,,,,,,,"Drawn over to one side in sore throat. Rheumatism of the neck. Stiffness of neck. Pain in nape, as if dislocated.",,,,,,,,,,,,,,,,,,,,Body icy cold; face yellow; tendency to sweat.,,,,,,,,,,,,,,,,
LAMIUM ALBUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LACTUCA VIROSA,"Sensation of weight, of fullness; borborygmi; abundant emission of wind. Colic in early morning, abdomen tense, relieved somewhat by evacuation and passing of wind.",,,,,,,,,,,,,"Difficult breathing. Suffocative breathing from dropsy of the chest. Constant tickling cough. Incessant, spasmodic cough, as if chest would fly to pieces. Squeezing sensation in lower chest.",,,,,,,,,,,,,"Lame hip down left side; worse walking. Coldness and numbness of feet and legs. Tremor of hands and arms. Cramps in shin bones, extending to toes and side of leg involving calves.",,,,,Promotes catamenia. Increase of milk in breasts (Asafoet).,,,,,,,,"Dull, heavy, confused, dizzy. Heat of face and headache, with general coldness. Headache, with affections of respiratory organs.",,,,,,,,,,,Stupefaction of sense. Great restlessness.,,,,,,,,,,,,,,,,,,,,,,,,,,"Restless; impossible to get to sleep. Deep, comatose sleep.",,,,,,,,,,,,,,,
LACTICUM ACIDUM,,,,,,,,,,,,,,"Pain in breasts, with enlargement of axillary glands, and pain extends into hand.",,,,,,,,,,,,,"Rheumatic pain in joints and shoulders, wrists, knees, with much weakness. Trembling of whole body while walking. Limbs feel chilly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tongue dry, parched. Thirst; voracious hunger. Canker, copious salivation and water-brash. Nausea; morning sickness, especially in pale anaemic women. Hot, acrid eructation. Nausea; better, eating. Burning, hot gas from stomach to throat, causing profuse secretion of tenacious mucus, worse smoking.",,,,,,Fullness or lump like a puff ball. Keeps swallowing. Constricted low down.,,,,,"Large quantities passed, frequently. Saccharine.",,
LACHESIS MUTUS,"Liver region sensitive, cannot bear anything around waist. Especially suitable to drunkards. Abdomen tympanitic, sensitive, painful (Bell).",,,,,"Neuralgia of coccyx, worse rising from sitting posture; must sit perfectly still. Pain in neck, worse cervical region. Sensation of threads stretched from back to arms, legs, eyes, etc.",,,,,,,,,,,,,,,,,,,,"Tearing pain from zygoma into ear; also with sore throat. Ear-wax hard, dry.","Sciatica, right side, better lying down. Pain in tibia (may follow sore throat). Shortening of tendons.",,"Defective vision after diphtheria, extrinsic muscles too weak to maintain focus. Sensation as if eyes were drawn together by cords which were tied in a knot at root of nose.",,"Pale. Trifacial neuralgia, left side, heat running up into head (Phos). Tearing pain in jaw-bones (Amphisbaena; Phos). Purple, mottled, puffed; looks swollen, bloated, jaundiced, chlorotic.","Climacteric troubles, palpitation, flashes of heat, haemorrhages, vertex headache, fainting spells; worse, pressure of clothes. Menses too short, too feeble; pains all relieved by the flow (Eupion). Left ovary very painful and swollen, indurated. Mammae inflamed, bluish. Coccyx and sacrum pain, especially on rising from sitting posture. Acts especially well at beginning and close of menstruation.",Chilly in back; feet icy cold; hot flushes and hot perspiration. Paroxysm returns after acids. Intermittent fever every spring.,,,,,,,"Pain through head on awaking. Pain at root of nose. Pressure and burning on vertex. Waves of pain; worse after moving. Sun headaches. With headache, flickerings, dim vision, very pale face. Vertigo. Relieved by onset of a discharge (menses or nasal catarrh).",,"Palpitation, with fainting spells, especially during climacteric. Constricted feeling causing palpitation, with anxiety. Cyanosis. Irregular beats.",,,,,,,Intense excitement of sexual organs.,,Great loquacity. Amative. Sad in the morning; no desire to mix with the world. Restless and uneasy; does not wish to attend to business; wants to be off somewhere all the time. Jealous (Hyos). Mental labor best performed at night. Euthanasia. Suspicious; nightly delusion of fire. Religious insanity (Verat; Stram). Derangement of the time sense.,,"Worse, after sleep, (Kali bich). Lachesis sleeps into aggravation; ailments that come on during sleep (Calc); left side, in the spring, warm bath, pressure or constriction, hot drinks. Closing eyes. Better, appearance of discharges, warm applications.",,"Gums swollen, spongy, bleed. Tongue swollen, burns, trembles, red, dry and cracked at tip, catches on teeth. Aphthous and denuded spots with burning and rawness. Nauseous taste. Teeth ache, pain extends to ears. Pain in facial bones.",,,,,,,,,"Bleeding, nostrils sensitive. Coryza, preceded by headache. Hay asthma; paroxysms of sneezing (Silica; Sabad).",,,,,,,,,"Upper part of windpipe very susceptible to touch. Sensation of suffocation and strangulation on lying down, particularly when anything is around throat; compels patient to spring from bed and rush for open window. Spasm of glottis; feels as if something ran from neck to larynx. Feels he must take a deep breath. Cramp-like distress in praecordial region. Cough; dry, suffocative fits, tickling. Little secretion and much sensitiveness; worse, pressure on larynx, after sleep, open air. Breathing almost stops on falling asleep (Grind). Larynx painful to touch. Sensation as of a plug (Anac) which moves up and down, with a short cough.",,,"Hot perspiration, bluish, purplish appearance. Boils, carbuncles, ulcers, with bluish, purple surroundings. Dark blisters. Bed-sores, with black edges. Blue-black swellings. Pyemia; dissecting wounds. Purpura, with intense prostration. Senile erysipelas. Wens. Cellulitis. Varicose ulcers.","Patient sleeps into an aggravation. Sudden starting when falling asleep. Sleepiness, yet cannot sleep (Bell; Op). Wide-awake in evening.",,"Craving for alcohol, oysters. Any food causes distress. Pit of stomach painful to touch. Hungry, cannot wait for food. Gnawing pressure made better by eating, but returning in a few hours. Perceptible trembling movement in the epigastric region. Empty swallowing more painful than swallowing solids.",,"Constipated, offensive stool. Anus feels tight, as if nothing could go through it. Pain darting up the rectum every time be sneezes or coughs. Haemorrhage from bowels like charred straw, black particles. Haemorrhoids protrude, become constricted, purplish. Stitches in them on sneezing or coughing. Constant urging in rectum, not for stool.",,,,"Sore, worse left side, swallowing liquids. Quinsy. Septic parotiditis. Dry, intensely swollen, externally and internally. Diphtheria; membrane dusky, blackish; pain aggravated by hot drinks; chronic sore throat, with much hawking; mucus sticks, and cannot be forced up or down. Very painful; worse slightest pressure, touch is even more annoying. In diphtheria, etc, the trouble began on the left side. Tonsils purplish. Purple, livid color of throat. Feeling as if something was swollen which must be swallowed; worse, swallowing saliva or liquids. Pain into ear. Collar and neck-band must be very loose.",,,,,,,
LAC VACCINUM DEFLORATUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Despondent. Pain begins in forehead to occiput, in morning on rising. Intense throbbing, with nausea, vomiting, blindness, and obstinate constipation; worse, noise, light, motion, during menses, with great prostration, and better by pressure and bandaging head tightly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Constipation. Stools hard, large, with great straining; painful, lacerating anus.",,,,,,,,,,,
LAC CANINUM,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sciatica, right side. Legs feel numb and stiff, cramps in feet. Rheumatic pains in extremities and back, from one side to the other. Pain in arms to fingers. Burning in palms and soles.",,,,,"Menses too early, profuse, flow in gushes. Breasts swollen; painful before (Calc c; Con; Puls) and better on appearance of menses. Mastitis; worse, least jar. Helps to dry up milk. Sinking at epigastrium. Sexual organs easily excited. Backache; spine very sensitive to touch or pressure. Galactorrhoea.",,,,,,,,"Sensation of walking or floating in the air (Sticta). Pain first one side, then the other. Blurred vision, nausea and vomiting at height of attack of headache. Occipital pain, with shooting extending to forehead. Sensation as if brain were alternately contracted and relaxed. Noises in ears. Reverberation of voice.",,,,,,,,,,,"Very forgetful; in writing, makes mistakes. Despondent; thinks her disease incurable. Attacks of rage. Visions of snakes. Thinks himself of little consequence.",,"Worse, morning of one day and in the evening of next. Better, cold, cold drinks.",,Tongue coated white with bright red edges; profuse salivation. Drooling in diphtheria. Cracking of jaw while eating (Nit ac; Rhus). Putrid taste increased by sweets.,,,,,,,,,"Coryza; one nostril stuffed up, the other free; alternate. Alae nasi and corners of mouth cracked. Bones of nose sore to pressure. Bloody pus discharged.",,,,,,,,,,,,,Dreams of snakes.,,,,,,,,"Sensitive to touch. Painful swallowing; pain extends to ears. Sore throat and cough with menstruation. Tonsillitis and diphtheria symptoms change repeatedly from side to side. Shining glazed appearance of deposit, pearly-white or like pure white porcelain. Stiffness of neck and tongue. Throat feels burned raw. Tickling sensation causes constant cough. Sore throat beginning and ending with menses.",,,,,,,
KOUSSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KREOSOTUM,"Distended. Burning haemorrhoids. Diarrhoea; very offensive; dark brown. Bloody, fetid stools. Cholera infantum in connection with painful dentition, green stools, nausea, dry skin, exhaustion, etc.",,,,,"Dragging backache, extending to genitals and down thighs. Great debility.",,,,,,,,,,,,,,,,,,,,Eruption around and pimples within. Difficult hearing and buzzing.,"Pain in joints, hip and knee. Boring pain in hip-joints. Scapulae sore.",,Salty lachrymation. Lids red and swollen.,,"Sick, suffering expression; hot, cheeks red.","Corrosive itching within vulva, burning and swelling of labia; violent itching between labia and thighs. During menses, difficult hearing; buzzing and roaring; eruption after. Burning and soreness in external and internal parts. Leucorrhoea, yellow, acrid; odor of green corn; worse between periods. Haemorrhage after coition. Menses too early, prolonged. Vomiting of pregnancy, with ptyalism. Menstrual flow intermits (Puls); ceases on sitting or walking; reappears on lying down. Pain worse after menses. Lochia offensive; intermits.",,,,,,,,"Dull pain, as from a board pressing against forehead. Menstrual headache. Occipital pain (Gels; Zinc pic).",,,,,,,,,,"Music causes weeping and palpitation. Vanishing of thought; stupid, forgetful, peevish, irritable. Child wants everything but throws it away when given.",,,"Worse, in open air, cold rest, when lying; after menstruation. Better, from warmth, motion, warm diet.",,"Lips red, bleeding. Very painful dentition; child will not sleep. Very rapid decay of teeth, with spongy, bleeding gums; teeth dark and crumbly (Staph; Ant c). Putrid odor and bitter taste.",,,,,,,,,Offensive smell and discharge. Chronic catarrh of old people. Acrid rawness. Lupus (Ars).,,,,,,,,,"Hoarse, with pain in larynx. Cough; worse evening, with efforts to vomit, with pain in chest. Raw burning in chest; pains and oppression. Cough after influenza (Eriodyction). Winter coughs of old people, with heavy pressure on sternum. Gangrene of lungs. After every cough, copious, purulent expectoration. Haemoptysis; periodic attacks. Sternum feels pressed in.",,,"Itching, worse towards evening. Burning in soles. Senile gangrene. Small wounds bleed freely (Crot; Lach; Phos). Pustules and herpes. Ecchymosis; dorsal surface of fingers and hands eczematous.","Disturbed with tossing. Paralytic sensation in limbs on waking. Anxious dreams of pursuit, fire, erections, etc.",,"Nausea; vomiting of food several hours after eating; of sweetish water in the morning. Feeling of coldness, as of ice water in stomach. Soreness; better eating. Painful hard spot. Haematemesis. Bitter taste after a swallow of water.",,,,,,"Burning, choking sensation. Putrid odor.",,,,,"Offensive. Violent itching of vulva and vagina, worse when urinating. Can urinate only when lying; cannot get out of bed quick enough during first sleep. Dreams of urinating. Enuresis in the first part of night. Must hurry when desire comes to urinate.",,
KAOLINUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Itching and burning. Discharge yellow. Sore, scabby, stopped up.",,,,,,,,,Soreness of chest along trachea; cannot stand percussion. Gray sputa. Capillary bronchitis. Larynx and chest sore. Membranous croup-extends down trachea.,,,,,,,,,,,,,,,,,,,
KOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALMIA LATIFOLIA,,,,,,"Pain from neck down arm; in upper three dorsal vertebrae extending to shoulder-blade. Pain down back, as if it would break; in localized regions of spine; through shoulders. Lumbar pains, of nervous origin.",,,,,,,,,,,,,,,,,,,,,"Deltoid rheumatism especially right. Pains from hips to knees and feet. Pains affect a large part of a limb, or several joints, and pass through quickly. Weakness, numbness, pricking, and sense of coldness in limbs. Pains along ulnar nerve, index finger. Joints red, hot, swollen. Tingling and numbness of left arm.",,"Vision impaired. Stiff, drawing sensation when moving eyes. Rheumatic iritis. Scleritis, pain increased by moving the eye.",,Neuralgia; worse right side. Stitches in tongue. Stitches and tearing in bones of jaw and face.,"Menses too early, or suppressed, with pain in limbs and back and inside of thighs. Leucorrhoea follows menses.",,,,,,,,Vertigo; worse stooping. Confusion of brain. Pain in front and temporal region from head to nape and to teeth; from cardiac origin.,,"Weak, slow pulse (Dig; Apoc can). Fluttering of heart, with anxiety. Palpitation; worse leaning forward. Gouty and rheumatic metastasis of heart. Tachycardia, with pain (Thyroid). Tobacco heart. Dyspnoea and pressure from epigastrium toward the heart. Sharp pains take away the breath. Shooting through chest above heart into shoulder-blades. Frequent pulse. Heart's action tumultuous, rapid and visible. Paroxysms of anguish around heart.",,,,,,,,,,,"Worse, leaning forward (opposite, Kali carb); looking down; motion, open air.",,,,,,,,,,,,,,,,,,,,,,,,"Sleepless, wakes very early in morning.",,"Warm, glowing sensation in epigastrium. Nausea; vomiting. Pain in pit of stomach; worse by bending forward; relieved by sitting erect. Bilious attacks, with nausea, vertigo, and headache. Sensation of something being pressed under the epigastrium.",,,,,,,,,"Frequent, with sharp pains in lumbar region. Post-scarlatinal nephritis.",,,,
KALIUM SULPHURICUM,"Colicky pains; abdomen feels cold to touch; tympanitic, tense. Yellow, slimy diarrhoea. Constipation, with haemorrhoids (Sulph).",,,,,,,,,,,,,,,,,,,,,,,,,Eustachian deafness. Discharge of yellow matter (Hydr).,"Pain in nape, back and limbs, worse in warm room. Shifting, wandering pains.",,,,Aches in heated room. Epithelioma.,"Menses too late, scanty, with feeling of weight in abdomen. Metrorrhagia.","Rise of temperature at night. Intermittent fever, with yellow, slimy tongue.",,,,,,,"Rheumatic headache, beginning in evening. Bald spots. Dandruff and scaldhead.",,,,,,,,,"Gonorrhoea; discharge slimy, yellowish-green. Orchitis. Gleet.",,,,"Worse, in evening, heated room. Better, cool, open air.",,,,,,,,,,,"Cold, with yellow, slimy expectoration. Nose obstructed. Smell lost (Nat mur). Engorgement of the nasal pharyngeal mucous membrane, mouth breathing, snoring, etc, remaining after removal of adenoids.",,,,,,,,,"Coarse rales. Rattling of mucus in chest (Tart em). Post-grippal cough, especially in children. Bronchial asthma, with yellow expectoration. Cough; worse in evening and in hot atmosphere. Croupy hoarseness (Hep; Spong).",,,"Psoriasis (Ars; Thyroid). Eczema; burning, itching, papular eruption. Nettle-rash. Polypi. Epithelioma. Seborrhoea. Favus. Ring-worm of scalp or beard with abundant scales.",,,"Tongue coated yellow and slimy. Insipid, pappy taste. Gums painful. Burning thirst, nausea, and vomiting. Load feeling. Dread of hot drinks.",,,,,,,,,,,,,
KALIUM MURIATICUM,"Abdominal tenderness and swelling. Flatulence. Thread-worms, causing itching at the anus.",,,,,,"Rheumatic fever; exudation and swelling around the joints. Rheumatic pains felt only during motion, or increased by it. Nightly rheumatic pains; worse from warmth of bed; lightning-like from small of back to feet; must get out of bed and sit up. Hands get stiff while writing.",,,,,,,,,,,,,,,,,,,"Chronic, catarrhal conditions of the middle ear. Glands about the ear swollen. Snapping and noises in the ear. Threatened mastoid. Great effusion about the auricle.",,,"White mucus, purulent scabs. Superficial ulcer. Trachoma. Corneal opacities.",,Cheek swollen and painful.,"Menstruation too late or suppressed, checked or too early; excessive discharge; dark-clotted, or tough, black blood, like tar (Plat). Leucorrhoea; discharge of milky-white mucus, thick, non-irritating, bland. Morning sickness, with vomiting of white phlegm. Bunches in breast feel quite soft and are tender.",,,,,,,,"Imagines he must starve. Headache, with vomiting. Crusta lactea. Dandruff.",,,,,,,,,,,,,"Worse, rich food, fats, motion.",,"Aphthae; thrush; white ulcers in mouth. Swollen glands about jaw and neck. Coating of tongue grayish-white, dryish, or slimy.",,,,,,,,,"Catarrh; phlegm white, thick. Vault of pharynx covered with adherent crusts. Stuffy cold. Nosebleed (Arn; Bry).",,,,,,,,,,"Loss of voice; hoarseness. Asthma, with gastric derangements; mucus white and hard to cough up. Loud, noisy stomach cough; cough short, acute, and spasmodic, like whooping-cough; expectoration thick and white. Rattling sounds of air passing through thick, tenacious mucus in the bronchi; difficult to cough up.",,"Acne, erythema, and eczema, with vesicles containing thick, white contents. Dry, flour-like scales on the skin (Arsenic). Bursitis.",,,"Fatty or rich food causes indigestion. Vomiting of white, opaque mucus; water gathers in the mouth. Pain in the stomach, with constipation. Bulimia; hunger disappears by drinking water.",,"Constipation; light-colored stools. Diarrhoea, after fatty food; clay-colored, white, or slimy stools. Dysentery; purging, with slimy stools. Haemorrhoids; bleeding; blood dark and thick; fibrinous, clotted.",,,,"Follicular tonsillitis. Tonsils inflamed; enlarged so much, can hardly breathe. Grayish patches or spots in the throat and tonsils. Adherent crusts in vault of pharynx. ""Hospital"" sore throat. Eustachian catarrh.",,,,,,,
KALIUM SILICICUM,,,,,,,,,,,,,,,,,,,,,,,,,,,Stiffness over body and limbs. Creeping sensation over limbs. Twitching of muscles. Weak and weary.,,,,,,,"Weight in stomach after eating, nausea, pain, flatulence. Pain in liver region. Constipation. Construction of anus during stool.",,,,,,"Absent-minded, anxious, indolent, timid. Feeble will power. Head congested, blood surges from body to head. Vertigo, coldness of head; photophobia. Nasal catarrh, discharge bloody, excoriating, offensive nose, swollen, ulcerated.",,,,,,,,,,,,,"Worse, open air, drafts, cold, exertion, motion uncovering, bathing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALIUM PHOSPHORICUM,"Diarrhoea; foul, putrid odor; occasioned by fright, with depression and exhaustion. Diarrhoea while eating. Dysentery; stools consist of pure blood; patient becomes delirious; abdomen swells. Cholera; stools have the appearance of rice water (Verat; Ars; Jatrop). Prolapsus recti (Ign; Pod).",,,,,,,,,,,,,,,,,,,,,,,,,Humming and buzzing in the ears.,"Paralytic lameness in back and extremities. Exertion aggravates. Pains, with depression, and subsequent exhaustion.",,Weakness of sight; loss of perceptive power; after diphtheria; from exhaustion. Drooping of eyelids (Caust).,,"Livid and sunken, with hollow eyes. Right-sided neuralgia relieved by cold applications.","Menstruation too late or too scanty in pale, irritable, sensitive, lachrymose females. Too profuse discharge, deep-red or blackish-red, thin and not coagulating; sometimes with offensive odor. Feeble and ineffectual labor pains.",Subnormal temperature.,,,,,,,"Occipital headache; better, after rising. Vertigo, from lying, on standing up, from sitting, and when looking upward (Granat). Cerebral anaemia. Headache of students, and those worn out by fatigue. Headaches are relieved by gentle motion. Headache, with weary, empty, gone feeling at stomach (Ign; Sep).",,,,,,,,,Nocturnal emissions; sexual power diminished utter prostration after coitus (Kali carb).,,"Anxiety, nervous dread, lethargy. Indisposition to meet people. Extreme lassitude and depression. Very nervous, starts easily, irritable. Brain-fag; hysteria; night terrors. Somnambulance. Loss of memory. Slightest labor seems a heavy task. Great despondency about business. Shyness; disinclined to converse.",,"Worse, excitement, worry, mental and physical exertion; eating, cold, early morning. Better, warmth, rest, nourishment.",,"Breath offensive, fetid. Tongue coated brownish, like mustard. Excessively dry, in the morning. Toothache, with easily-bleeding gums; they have a bright-red seam on them. Gums spongy and receding (Caps; Hamam; Lach).",,,,,,,,,"Nasal disease, with offensive odor; fetid discharge.",,,,,,,,,Asthma; least food aggravates. Short breath on going upstairs. Cough; yellow expectoration.,,,,,,"A nervous ""gone"" sensation at the pit of the stomach (Ign; Sep; Sulph). Feels seasick without nausea.",,,,,,Gangrenous sore throat. Paralysis of the vocal cords.,,,,Enuresis. Incontinence of urine. Bleeding from the urethra. Very yellow urine.,,,
KALIUM NITRICUM,,,,,,,,,,,,,,,,,,,,,,,,,,,Stitches between shoulder-blades. Tearing and sticking in shoulders and joints. Hands and fingers seem swollen.,,Vision becomes clouded. Turbid corpus vitreum (Arn; Ham; Solan n; Phos). Variegated-colored rings before eyes. Burning and lachrymation.,,,"Menses too early, profuse, black; preceded and with violent backache. Leucorrhoea. Burning pains in the ovarian region only during menses (Zinc after).",,,,,,,,"Scalp very sensitive. Headache, with vertigo, as if falling to right side and backwards; worse, stooping. Ennui.",,"Pulse weak, small, thready. Violent stitch in praecordia, and beating of heart.",,,,,,,,,,,"Worse, eating veal; towards morning and in afternoon. Better, drinking sips of water.",,"Tongue red, with burning pimples; burns at tip. Throat constricted and sore.",,,,,,,,,"Sneezing. Swollen feeling; worse, right nostril. Point red and itching. Polypus (Sang nit).",,,,,,,,,"Hoarseness. Dry, morning cough, with pain in chest and bloody expectoration. Bronchitis, with sharp, short, dry, hacking cough. Asthma, with excessive dyspnoea, nausea, dull stitches, and burning in chest. Dyspnoea so great that breath cannot be held long enough to drink, though thirsty. Chest feels constricted. Oppression worse in morning. Sour-smelling expectoration. Expectoration of clotted blood, after hawking mucus. Acute exacerbations in phthisis; congestion of lungs. Spasmodic croup; paroxysm of crowing. Laryngeal diphtheria.",,,,,,,,"Thin, watery, bloody. Membranous shreds, with tenesmus. Diarrhoea from eating veal.",,,,,,,,,,,
