Medicine Name,Symptom,Description
INULA HELENIUM,Head,"Vertigo on stooping; throbbing after eating, pressure in temples and forehead."
INULA HELENIUM,Respiratory,"Dry cough; worse at night and lying down; larynx painful. Chronic bronchitis; cough, with much thick expectoration, with languor and weak digestion. Stitches behind sternum. Teasing cough with much and free expectoration. Palliative in tubercular laryngitis."
INULA HELENIUM,Female,"Menses too early and painful. Labor-like pains; urging to stool; dragging in genitals, with violent backache. Itching of legs during menses, chattering of teeth from cold during menstruation. Moving about in abdomen, stitches in genitals. Chronic metritis."
INULA HELENIUM,Rectum,Pressing toward rectum as of something extruding.
INULA HELENIUM,Urinary,Frequent urging to urinate; passes only in drops. Violet odor (Tereb).
INULA HELENIUM,Extremities,"Pain in right shoulder and wrist; tearing in left palm, unable to double fingers; pain in lower limbs, feet and ankles."
INULA HELENIUM,Relationship,Compare: Crocus; Ignatia; Arum dracontium (loose cough worse at night on lying down).
INULA HELENIUM,Dose,First to third potency.
IPECACUANHA,Mind,"Irritable; holds everything in contempt. Full of desires, for what they know not."
IPECACUANHA,Head,Bones of skull feel crushed or bruised. Pain extends to teeth and root of tongue.
IPECACUANHA,Eyes,"Inflamed, red. Pain through eyeballs. Profuse lachrymation. Cornea dim. Eyes tire from near vision. State of vision constantly changing. Spasm of accommodation from irritable weakness of the ciliary muscle. Nausea from looking on moving objects."
IPECACUANHA,Face,"Blue rings around eyes. Periodical orbital neuralgia, with lachrymation, photophobia, and smarting eyelids."
IPECACUANHA,Nose,"Coryza, with stoppage of nose and nausea. Epistaxis."
IPECACUANHA,Stomach,"Tongue usually clean. Mouth, moist; much saliva. Constant nausea and vomiting, with pale, twitching of face. Vomits food, bile, blood, mucus. Stomach feels relaxed, as if hanging down. Hiccough."
IPECACUANHA,Abdomen,"Amebic dysentery with tenesmus; while straining pain so great that it nauseates; little thirst. Cutting, clutching; worse, around the navel. Body rigid; stretched out stiff."
IPECACUANHA,Stools,"Pitch-like green as grass, like frothy molasses, with griping at navel. Dysenteric, slimy."
IPECACUANHA,Female,"Uterine haemorrhage, profuse, bright, gushing, with nausea. Vomiting during pregnancy. Pain from navel to uterus. Menses too early and too profuse."
IPECACUANHA,Respiratory,"Dyspnoea; constant constriction in chest. Asthma. Yearly attacks of difficult shortness of breathing. Continued sneezing; coryza; wheezing cough. Cough incessant and violent, with every breath. Chest seems full of phlegm, but does not yield to coughing. Bubbling rales. Suffocative cough; child becomes stiff, and blue in the face. Whooping-cough, with nosebleed, and from mouth. Bleeding from lungs, with nausea; feeling of constriction; rattling cough. Croup. Haemoptysis from slightest exertion (Millef). Hoarseness, especially at end of a cold. Complete aphonia."
IPECACUANHA,Fever,"Intermittent fever, irregular cases, after Quinine. Slightest chill with much heat, nausea, vomiting, and dyspnoea. Relapses from improper diet."
IPECACUANHA,Sleep,With eyes half open. Shocks in all limbs on going to sleep (Ign).
IPECACUANHA,Extremities,"Body stretched stiff, followed by spasmodic jerking of arms towards each other."
IPECACUANHA,Skin,"Pale, lax. Blue around eyes. Miliary rash."
IPECACUANHA,Modalities,"Worse, periodically; from veal, moist warm wind, lying down."
IPECACUANHA,Relationship,"Compare: Emetine-principal alkaloid of Ipecac (A powerful amebicide, but is not a bactericide. Specific for amaebiasis; of remarkable value in treatment of amaebic dysentery; also as a remedy in pyorrhea, 1/2 gr daily for three days, then less. Emetin, 1/2 gr hypodermically, in Psoriasis. Emetin hydroch. 2x, diarrhoea with colicky, abdominal pains and nausea. Emetin for endamoebic dysentery. In physiological doses must be carefully watched. May produce hepatization of lungs, rapid heart action, tendency for the head to fall forward and lobar pneumonia. In haematemesis and other haemorrhages, compare: Gelatin which has a marked effect on the coagulability of the blood. Hypodermically; or if by mouth, a 10 per cent jelly, about 4 oz, three times a day) Arsenic; Cham; Puls; Tart em; Squill. Convolvulus (colic and diarrhoea). Typha latifolia-Cat-tail flag (dysentery, diarrhoea) and summer complaint. Euphorbia hypericifolia--Garden Spurge--(Very similar to Ipecac. Irritation of the respiratory and gastro-intestinal tracts and female organs). Lippia mexicana--(Persistent dry, hard, bronchial cough--asthma and chronic bronchitis)."
IPECACUANHA,Dose,Third to 200th potency.
INSULINUM,Dose,3x to 30x.
INDOLUM,Head,Dull occipital and frontal headache in afternoon. Dull sensation over eyes. Eyeballs hot and hurt when moved. Pupils dilated with headache.
INDOLUM,Stomach,Bloated feeling. Hungry sensation after full meal. Great thirst. Constipation.
INDOLUM,Extremities,Very tired and sore in lower limbs. Feet burn. Knee-joints sore.
INDOLUM,Sleep,Sleepiness. Continuous dreaming.
INDOLUM,Dose,Sixth attenuation.
INDIUM METALLICUM,Head,"Pain in head when straining at stool. Bursting in head during stool. Dull pains in temples and forehead, with nausea, weakness, sleepiness. Gone feeling in stomach about 11 am. Violent attack of sneezing. Sexual psychopathy."
INDIUM METALLICUM,Face,Painful suppurating pimples. Corners of mouth cracked and sore (Condur).
INDIUM METALLICUM,Male,Horribly offensive smell of urine after standing a short time. Emissions too frequent. Diminished power. Testicles tender; drawing pains along spermatic cord.
INDIUM METALLICUM,Throat,"Uvula enlarged, ulcerated; thick, tough mucus in back part of pharynx. Worse evening."
INDIUM METALLICUM,Extremities,"Stiffness in neck and shoulders. Pain, especially in left arm. Legs restless and weary. Toes itch (Agar)."
INDIUM METALLICUM,Dose,Sixth to 200th potency.
INDIUM METALLICUM,Relationship,Compare: Selenium; Titanium (male sexual organs).
INDIGO TINCTORIA,Head,Vertigo with nausea. Convulsions. Sensation of a band around forehead. Undulating sensation through whole head. Sensation as if brain were frozen. Gloomy; cries at night. Hair feels pulled from vertex. Head feels frozen.
INDIGO TINCTORIA,Nose,Excessive sneezing and bleeding from nose.
INDIGO TINCTORIA,Ears,Pressure and roaring.
INDIGO TINCTORIA,Stomach,Metallic taste. Eructations. Bloating. Anorexia. Flushes of heat rising from stomach to head.
INDIGO TINCTORIA,Rectum,Falling of rectum. Aroused at night with horrible itching at anus.
INDIGO TINCTORIA,Urinary,Constant desire to urinate. Urine turbid. Catarrh of bladder.
INDIGO TINCTORIA,Extremities,"Sciatica. Pain from middle of thigh to knee. Boring pain in knee-joint; better, walking. Pain in limbs worse after every meal."
INDIGO TINCTORIA,Nerves,Hysterical symptoms where pain predominates Excessive nervous irritation. Epilepsy; flashes of heat from abdomen to head; fit begins with dizziness. Aura from a painful spot between shoulders. Reflex spasms from worms.
INDIGO TINCTORIA,Modalities,"Worse, during rest and sitting. Better, pressure, rubbing, motion."
INDIGO TINCTORIA,Relationship,"Compare: Cuprum; Å’strus cameli, an Indian medicine for epilepsy."
INDIGO TINCTORIA,Dose,Third to thirtieth potency.
IGNATIA AMARA,Mind,"Changeable mood; introspective; silently brooding. Melancholic, sad, tearful. Not communicative. Sighing and sobbing. After shocks, grief, disappointment."
IGNATIA AMARA,Head,"Feels hollow, heavy; worse, stooping. Headache as if a nail were driven out through the side. Cramp-like pain over root of nose. Congestive headaches following anger or grief; worse, smoking or smelling tobacco, inclines head forward."
IGNATIA AMARA,Eyes,"Asthenopia, with spasms of lids and neuralgic pain about eyes (Nat m). Flickering zigzags."
IGNATIA AMARA,Face,Twitching of muscles of face and lips. Changes color when at rest.
IGNATIA AMARA,Mouth,Sour taste. Easily bites inside of cheeks. Constantly full of saliva. Toothache; worse after drinking coffee and smoking.
IGNATIA AMARA,Throat,"Feeling of a lump in throat that cannot be swallowed. Tendency to choke, globus hystericus. Sore throat; stitches when not swallowing; better, eating something solid. Stitches between acts of swallowing. Stitches extend to ear (Hep). Tonsils inflamed, swollen, with small ulcers. Follicular tonsillitus."
IGNATIA AMARA,Stomach,"Sour eructation. All-gone feeling in stomach; much flatulence; hiccough. Cramps in stomach; worse slightest contact. Averse to ordinary diet; longs for great variety of indigestible articles. Craving for acid things. Sinking in stomach, relieved by taking a deep breath."
IGNATIA AMARA,Abdomen,"Rumbling in bowels. Weak feeling in upper abdomen. Throbbing in abdomen (Aloe; Sang). Colicky, griping pains in one or both sides of abdomen."
IGNATIA AMARA,Rectum,Itching and stitching up the rectum. Prolapse. Stools pass with difficulty; painful constriction of anus after stool. Stitches in haemorrhoids during cough. Diarrhoea from fright. Stitches from anus deep into rectum. Haemorrhage and pain; worse when stool is loose. Pressure as of a sharp instrument from within outward.
IGNATIA AMARA,Urine,"Profuse, watery (Phos ac)."
IGNATIA AMARA,Respiratory,"Dry, spasmodic cough in quick successive shocks. Spasm of glottis (Calc). Reflex coughs. Coughing increases the desire to cough. Much sighing. Hollow spasmodic cough, worse in the evening, little expectoration, leaving pain in trachea."
IGNATIA AMARA,Female,"Menses, black, too early, too profuse, or scanty. During menses great languor, with spasmodic pains in stomach and abdomen. Feminine sexual frigidity. Suppression from grief."
IGNATIA AMARA,Extremities,Jerking of limbs. Pain in tendo-Achillis and calf. Ulcerative pain in soles.
IGNATIA AMARA,Sleep,"Very light. Jerking of limbs on going to sleep. Insomnia from grief, cares, with itching of arms and violent yawning. Dreams continuing a long time; troubling him."
IGNATIA AMARA,Fever,"Chill, with thirst; not relieved by external heat. During fever, itching; nettle-rash all over body."
IGNATIA AMARA,Skin,"Itching, nettle-rash. Very sensitive to draught of air. Excoriation, especially around vagina and mouth."
IGNATIA AMARA,Modalities,"Worse, in the morning, open air, after meals, coffee, smoking, liquids, external warmth. Better, while eating, change of position."
IGNATIA AMARA,Relationship,Compare: Zinc; Kali phos; Sep; Cimicif. Panacea arvensis--Poor man's Mercury--(Sensitiveness over gastric region with hunger but an aversion to food).
IGNATIA AMARA,Dose,"Sixth, to 200th potency."
ICHTHYOLUM,Mind,"Irritable and depressed. Forgetful, lack of concentration."
ICHTHYOLUM,Head,"Dull, aching; better cold, pressure. Dull frontal and supra-orbital headache; worse moving eyes, cold air; better, warmth."
ICHTHYOLUM,Face,Skin feels dry and itches. Acne on chin.
ICHTHYOLUM,Throat,"Irritated; pain to ears; sore, dry, with hawking and expectoration."
ICHTHYOLUM,Eyes,"Burn, red; worse, any change of temperature."
ICHTHYOLUM,Nose,Bland coryza; stuffed feeling; feels sore inside. Irresistible desire to sneeze.
ICHTHYOLUM,Stomach,"Disagreeable taste, burning sensation, very thirsty. Nausea. Increased appetite."
ICHTHYOLUM,Abdomen,"Disposition to soft, shapeless stools. Griping in umbilical and left hypogastric region. Early morning diarrhoea."
ICHTHYOLUM,Urine,Increased in quantity and frequency. Burning pain in meatus. Uric acid deposits.
ICHTHYOLUM,Female,Fullness in lower abdomen. Nausea at time of menses.
ICHTHYOLUM,Respiratory,"Coryza; dry, teasing cough. Bronchiectasis and phthisis. Bronchitis, especially of the aged."
ICHTHYOLUM,Skin,"Heat and irritation; itching. Scaly and itching eczema. Crops of boils. Pruritus of pregnancy. Psorisis, Acne, rosacea, erysipelas."
ICHTHYOLUM,Extremities,Lameness in right shoulder and right lower extremity.
ICHTHYOLUM,Relationship,Compare: Hepar; Calc; Silica; Sulph; Ars; Petrol.
ICHTHYOLUM,Dose,Lower potencies.
ILEX AQUIFOLIUM,Eye,"Infiltration of cornea; staphyloma; nightly burning in orbits, rheumatic inflammation of eye; psilosis."
ILEX AQUIFOLIUM,Relationship,"Ilex Paraguayensis-Yerba Mate--(Persistent epigastric pain; sense of dryness of mouth and pharynx, anorexia, pyrosis, nervous depression, neurasthenia. Somnolence; incapacity for work, diminution of urinary secretion, headache and pruritus. Hemicrania. Renal colic. Is said to be of use as a prophylactic against sunstroke, being a safe stimulant to the circulation, to diaphoresis and diuresis). Ilex vomitoria--Yaupon--(Emetic properties-Possesses also tonic and digestive qualities, free from sleepless effects. Has an active principle said to act as a powerful diuretic-employed in nephritis and gout). Ilex Cassine--(Christmas berry Tea)-Excellent diuretic and substitute for tea."
ICTODES FOETIDA,Head,"Absent-minded, irritable. Headache in single spots, with violent pulsation of temporal arteries. Outward drawing from glabella. Better in open air (Puls). Red swelling across the bridge of the nose."
ICTODES FOETIDA,Abdomen,Inflation and tension in abdomen.
ICTODES FOETIDA,Respiratory,"Spasmodic croup. Troublesome respiration, with sudden feeling of anguish and sweat."
ICTODES FOETIDA,Dose,Tincture and lower potencies.
HYOSCYAMUS NIGER,Mind,"Very suspicious. Talkative, obscene, lascivious mania, uncovers body; jealous, foolish. Great hilarity; inclined to laugh at everything. Delirium, with attempt to run away. Low, muttering speech; constant carphologia, deep stupor."
HYOSCYAMUS NIGER,Head,"Feels light and confused. Vertigo as if intoxicated. Brain feels loose, fluctuating. Inflammation of brain, with unconsciousness; head is shaken to and fro."
HYOSCYAMUS NIGER,Eyes,"Pupils dilated, sparkling, fixed. Eyes open, but does not pay attention; downcast and dull, fixed. Strabismus. Spasmodic closing of lids. Diplopia. Objects have colored borders."
HYOSCYAMUS NIGER,Mouth,"Tongue dry, red, cracked, stiff and immovable, protruded with difficulty; speech impaired. Foams at mouth. Teeth covered with sordes. Lower jaw drops."
HYOSCYAMUS NIGER,Throat,Stinging dryness. Constriction. Cannot swallow liquids. Uvula elongated.
HYOSCYAMUS NIGER,Stomach,"Hiccough, eructations empty, bitter. Nausea, with vertigo. Vomiting, with convulsions; haematemesis; violent cramps, relieved by vomiting; burning in stomach; epigastrium tender. After irritating food."
HYOSCYAMUS NIGER,Abdomen,"Colic, as if abdomen would burst. Distention. Colic, with vomiting, belching, hiccough screaming. Tympanites. Red spots on abdomen."
HYOSCYAMUS NIGER,Stool,"Diarrhoea, colicky, pains; involuntary, aggravated by mental excitement or during sleep. Diarrhoea during the lying-in period. Involuntary defecation."
HYOSCYAMUS NIGER,Urine,Involuntary micturition. Bladder paralyzed. Has no will to urinate (Caust).
HYOSCYAMUS NIGER,Male,Impotence. Lascivious; exposes his person; plays with genitals during fever.
HYOSCYAMUS NIGER,Female,"Before menses, hysterical spasms. Excited sexual desire. During menses, convulsive movements, urinary flux and sweat. Lochia suppressed. Spasms of pregnant women. Puerperal mania."
HYOSCYAMUS NIGER,Chest,"Suffocating fits. Spasm, forcing bending forward. Dry, spasmodic cough at night (worse lying down; better sitting up), from itching in the throat, as if uvula were too long. Haemoptysis."
HYOSCYAMUS NIGER,Extremities,Picking at bed-clothes; plays with hands; reaches out for things. Epileptic attacks ending in deep sleep. Spasms and convulsions. Cramps in calves and toes. Child sobs and cries without waking.
HYOSCYAMUS NIGER,Sleep,"Intense sleeplessness. Sopor, with convulsions. Starts up frightened. Coma vigil."
HYOSCYAMUS NIGER,Nerves,Great restlessness; every muscle twitches. Will not be covered.
HYOSCYAMUS NIGER,Modalities,"Worse, at night, during menses, after eating, when lying down. Better, stooping."
HYOSCYAMUS NIGER,Relationship,Antidotes: Bell; Camph.
HYOSCYAMUS NIGER,Hyosc hydrobrom,"Scopolamine hydrobromide (Paralysis agitans); tremors of disseminated sclerosis. Sleeplessness and nervous agitation. Dry cough in phthisis. Similar in its effects to alcohol, both recent and remote. Corresponds to the effects of strong poisons introduced into or generated within the body. Symptoms of uraemia and acute nervous exhaustion. A remedy for shock. Third and fourth dec trituration. In physiological dosage (1-200 gr) mania and chorea; insomnia. Scopola (Japanese Belladonna)-chemically identical with Hyoscine (Joyous delirium, licking of lips and smacking of mouth; sleepless; tries to get out of bed; sees cats, picks imaginary hairs, warms hands before imaginary fire, etc)."
HYOSCYAMUS NIGER,Dose,"Sixth, to 200th potency."
HYPERICUM PERFORATUM,Mind,"Feels as if lifted high in air, or anxiety lest he fall from heights. Mistakes in writing. Effects of shock. Melancholy."
HYPERICUM PERFORATUM,Head,"Heavy; feels as if touched by an icy cold hand. Throbbing in vertex; worse in close room. Brain seems compressed. Right side of face aches. Brain-fag and neurasthenia. Facial neuralgia and toothache of a pulling, tearing character, with sadness. Head feels longer-elongated to a point. In fractured skull, bone splinters. Brain feels alive. Pains in eyes and ears. Falling out of hair."
HYPERICUM PERFORATUM,Stomach,"Craving for wine. Thirst; Nausea. Tongue coated white at base, tip clean. Feeling of lump in stomach (Abies nig; Bry)."
HYPERICUM PERFORATUM,Rectum,"Urging, dry, dull, pressing pain. Haemorrhoids, with pain, bleeding, and tenderness."
HYPERICUM PERFORATUM,Back,"Pain in nape of neck. Pressure over sacrum. Spinal concussion. Coccyx injury from fall, with pain radiating up spine and down limbs. Jerking and twitching of muscles."
HYPERICUM PERFORATUM,Extremities,"Darting pain in shoulders. Pressure along ulnar side of arm. Cramp in calves. Pain in toes and fingers, especially in tips. Crawling in hand and feet. Lancinating pain in upper and lower limbs. Neuritis, with tingling, burning pain, numbness and flossy skin. Joints feel bruised. Hysterical joints. Tetanus (Physost; Kali brom). Traumatic neuralgia and neuritis."
HYPERICUM PERFORATUM,Respiratory,Asthma worse foggy weather and relieved by profuse perspiration.
HYPERICUM PERFORATUM,Skin,"Hyperidrosis, sweating of scalp, worse in morning after sleep; falling of hair from injury; eczema of hands and face, intense itching, eruption seems to be under the skin. Herpes zoster. Old ulcers or sores in mouth when very sensitive. Lacerated wounds with much prostration from loss of blood."
HYPERICUM PERFORATUM,Modalities,"Worse, in cold; dampness; in a fog; in close room; least exposure; touch. Better, bending head backward."
HYPERICUM PERFORATUM,Relationship,Compare: Ledum (punched wounds and bites of animals); Arnica; Staphis; Calend; Ruta; Coff.
HYPERICUM PERFORATUM,Dose,"Tincture, to third potency."
IBERIS AMARA,Mind,Sad and sighing; fearful and trembling. Irritable.
IBERIS AMARA,Head,"Vertigo and pains around heart. Constant hawking of thick, stringy mucus until after a meal. Hot, flushed face. Vertigo, as if occiput were turning around; eyes feel forced outwards."
IBERIS AMARA,Heart,"Conscious of heart's action. On turning on left side, stitching pain as of needles through ventricles felt at each systole. Palpitation, with vertigo and choking in throat. Stitching pains in cardiac region. Pulse full, irregular, intermittent. Worse, least motion and in warm room. Sensation of weight and pressure, with occasional sharp, stinging pains. Dropsy, with enlarged heart. Violent palpitation induced by slightest exertion, or by laughing, or coughing. Darting pains through heart. Cardiac dyspnoea. Dilation of heart. Wakes with palpitation about 2 am. Throat and trachea fills up with mucus. Cough causes redness of face. Tachycardia."
IBERIS AMARA,Extremities,"Numbness and tingling in left hand and arm. Whole body sore, lame and trembling."
IBERIS AMARA,Modalities,"Worse, lying down; on left side; motion, exertion; warm room."
IBERIS AMARA,Relationship,Compare: Cact; Dig; Amyl; Bell.
IBERIS AMARA,Dose,Tincture and first potency.
HYDROCYANICUM ACIDUM,Mind,"Unconscious. Wild delirium. Fear of imaginary troubles. Fears everything-horses, wagons, houses falling, etc."
HYDROCYANICUM ACIDUM,Head,"Violent stupefying headache. Brain feels on fire. Pupils motionless or dilated. Supra-orbital neuralgia, with flushing on same side of face."
HYDROCYANICUM ACIDUM,Face,"Jaws clenched in rigid spasm. Froths at mouth. Pale, bluish lips."
HYDROCYANICUM ACIDUM,Stomach,Tongue cold. Drink rumbles through throat and stomach. Gastralgia; worse when stomach is empty. Great sinking at pit of stomach. Pulsative pain in praecordial region.
HYDROCYANICUM ACIDUM,Respiratory,"Noisy and agitated breathing. Dry, spasmodic, suffocative cough. Asthma, with contraction of throat. Whooping-cough. Paralysis of lungs (Aspidos). Marked cyanosis; venously congested lung."
HYDROCYANICUM ACIDUM,Heart,"Violent palpitation. Pulse, weak irregular. Cold extremities. Torturing pain in chest. Angina pectoris (Spigel; Oxal ac)."
HYDROCYANICUM ACIDUM,Sleep,"Yawning with shivering. Irresistible drowsiness. Vivid, incoherent dreams."
HYDROCYANICUM ACIDUM,Relationship,Antidotes: Ammon; Camph; Opium.
HYDROCYANICUM ACIDUM,Dose,Sixth and higher potencies.
HYDROCOTYLE ASIATICA,Face,Pain in left cheek-bones and about orbits.
HYDROCOTYLE ASIATICA,Female,Pruritus of vagina. Inflammation of neck of bladder. Heat within vagina. Granular ulceration of womb. Profuse leucorrhoea. Dull pain in ovarian region. Cervical redness.
HYDROCOTYLE ASIATICA,Skin,"Dry eruptions. Great thickening of epidermoid layer and exfoliation of scales. Psoriasis gyrate, on trunk and extremities, palms and soles. Pustules on chest. Circular spots, with scaly edges. Intolerable itching, especially of soles. Profuse sweat. Syphilitic affections. Acne. Leprosy. Elephantiasis (Ars). Lupus non-exedens."
HYDROCOTYLE ASIATICA,Relationship,"Compare: Elaeis-South American Palm--(scleroderma, elephantiasis, leprosy, skin thickened, itching and hardened. Anaesthesia). Hura; Trychnos Gaultheriana (bites of serpents, ulcers and cutaneous affections generally); Hoang-Nan. Chaulomoogra oil from seed of Taraktogenos; Hydrast; Arsenic; Aurum; Sepia."
HYDROCOTYLE ASIATICA,Dose,First to sixth potency.
HYDRANGEA ARBORESCENS,Urine,"Burning in urethra and frequent desire. Urine hard to start. Heavy deposit of mucus. Sharp pain in loins, especially left. Great thirst, with abdominal symptoms and enlarged prostate (Ferr pic; Sabal). Gravelly deposits. Spasmodic stricture. Profuse deposit of white amorphous salts."
HYDRANGEA ARBORESCENS,Relationship,"Compare: Lycopod; Chimaphil; Berberis; Pareira; Uva; Sabal; Oxydendron; Geum-Water Avens--(Severe jerking pains from deep in the abdomen to end of urethra; affections of bladder, with pains in penis; worse, eating; relaxed mucous membranes, with excessive and depraved secretions; imperfect digestion and assimilation). Polyctrichum-Haircap moss--(according to Dr. A. M. Cushing in mother tincture or infusion for enlarged prostate-prostatitis)."
HYDRANGEA ARBORESCENS,Dose,Tincture.
HOMARUS,Modalities,"Worse, from milk, after sleep. Better, from motion, after eating."
HOMARUS,Relationship,Compare: Sepia; Asterias; Astacus; Aethusa.
HOMARUS,Dose,Sixth potency.
HURA BRASILIENSIS,Dose,Sixth potency.
HURA BRASILIENSIS,Relationship,Compare Calotropis or Madura album--(Leprosy; livid and gangrenous tubercles; thickening of the skin).
HYDRASTIS CANADENSIS,Mind,"Depressed; sure of death, and desires it."
HYDRASTIS CANADENSIS,Head,"Dull, pressing frontal pain, especially connected with constipation. Myalgic pain in scalp and muscles of neck (Cimicif). Eczema on forehead along line of hair. Sinusitis, after coryza."
HYDRASTIS CANADENSIS,Ears,"Roaring. Muco-purulent discharge. Deafness. Estachian catarrh, with high-pitched voice."
HYDRASTIS CANADENSIS,Nose,"Thick, tenacious secretion from posterior nares to throat. Watery, excoriating discharge. Ozaena, with ulceration of septum. Tends to blow nose all the time."
HYDRASTIS CANADENSIS,Mouth,"Peppery taste. Tongue white, swollen, large, flabby, slimy; shows imprint of teeth (Merc); as if scalded; stomatitis. Ulceration of tongue, fissures toward the edges."
HYDRASTIS CANADENSIS,Throat,"Follicular pharyngitis. Raw, smarting, excoriating sensation. Hawking of yellow, tenacious mucus (Kali bich). Child is aroused suddenly from sleep by this tenacious post-nasal dropping. Goitre of puberty and pregnancy."
HYDRASTIS CANADENSIS,Stomach,Sore feeling in stomach more or less constant. Weak digestion. Bitter taste. Pain as from a hard-cornered substance. Gone feeling. Pulsation in epigastrium. Cannot eat bread or vegetables. Atonic dyspepsia. Ulcers and cancer. Gastritis.
HYDRASTIS CANADENSIS,Abdomen,"Gastro-duodenal catarrh. Liver torpid, tender. Jaundice. Gallstones. Dull dragging in right groin with cutting sensation into right testicle."
HYDRASTIS CANADENSIS,Back,"Dull, heavy, dragging pain and stiffness, particularly across lumbar region, must use arms in raising himself from seat."
HYDRASTIS CANADENSIS,Rectum,"Prolapsed; anus fissured. Constipation, with sinking feeling in stomach, and dull headache. During stool, smarting pain in rectum. After stool, long-lasting pain (Nit ac). Haemorrhoids; even a light flow exhausts. Contraction and spasm."
HYDRASTIS CANADENSIS,Urine,Gleety discharge. Urine smells decomposed.
HYDRASTIS CANADENSIS,Male,"Gonorrhoea, second stage; discharge thick and yellow."
HYDRASTIS CANADENSIS,Female,"Erosion and excoriation of cervix. Leucorrhoea, worse after menses (Bov; Calc c); acrid and corroding, shreddy, tenacious. Menorrhagia. Pruritus vulvae, with profuse leucorrhoea (Calc c; Kreos; Sep). Sexual excitement. Tumor of breast; nipple retracted."
HYDRASTIS CANADENSIS,Respiratory,"Chest raw, sore, burning. Dry, harsh cough. Bronchial catarrh, later stages. Bronchitis in old, exhausted persons, with thick, yellow, tenacious expectoration. Frequent fainty spells, with cold sweat all over. Feels suffocating when lying on left side. Pain from chest to left shoulder."
HYDRASTIS CANADENSIS,Skin,"Eruption like variola. Lupus; ulcers, cancerous formations. General tendency to profuse perspiration and unhealthy skin (Hepar)."
HYDRASTIS CANADENSIS,Relationship,Antidote: Sulph.
HYDRASTIS CANADENSIS,Dose,"Tincture, to thirtieth attenuation. Locally colorless. Hydrastis, mother tincture, or fluid extract."
HIPPURICUM ACIDUM,Head,"Pain over right eye, dull, constant, worse in warm room. Eyelids inflamed and swollen."
HIPPURICUM ACIDUM,Throat,"Sore, raw, dry, swallowing difficult, foul odor, gummy exudate; thickness and infiltration of all tissues around throat."
HIPPURICUM ACIDUM,Stomach,Acid rising. Lump in pit of stomach. Soreness and pressure over liver.
HIPPURICUM ACIDUM,Female,Menstrual flow for three weeks with complete relief of muscular and joint pains.
HIPPURICUM ACIDUM,Extremities,"Backache extending down hips. Pain in shoulders and extremities and sore swollen joints. Pain in middle of thigh posteriorly shooting down right leg. Tired, grating sensation in the joints."
HIPPURICUM ACIDUM,Skin,"Itching, burning. Papules looking like goose flesh on chest."
HIPPURICUM ACIDUM,Relationship,Benzoic acid seems to be an analogue.
HIPPURICUM ACIDUM,Dose,Lower potencies.
HIPPOZAENINUM,Nose,"Red, swollen. Catarrh, ozaena, ulceration. Discharge acrid, corroding, bloody, offensive. Tubercles on alae nasi. Papules and ulceration in frontal sinus and pharynx."
HIPPOZAENINUM,Face,All glands swollen; painful; form abscesses.
HIPPOZAENINUM,Respiratory,"Hoarseness. Bronchial asthma. Noisy breathing; short, irregular. Cough, with dyspepsia. Excessive secretion. Suffocation imminent. Bronchitis in the aged, where suffocation from excessive secretion is imminent. Tuberculosis."
HIPPOZAENINUM,Skin,Lymphatic swellings. Articular non-fluctuating swellings. Nodules in arm. Malignant erysipelas. Pustules and abscesses. Ulcers. Rupia. Eczema.
HIPPOZAENINUM,Relationship,Compare: Muco-toxin (Cahis' preparation with the micrococcus catarrhalis. Friedlander's Bacillus of Pneumonia and the micrococcus tetragenius-for acute and chronic mucous catarrhs in children and old people); Aur; Kali bich; Psor; Bacill.
HIPPOZAENINUM,Dose,Thirtieth potency.
HIPPOMANES,Stomach,Icy coldness in stomach.
HIPPOMANES,Male,Sexual desire increased. Prostatitis. Drawing pain in testicles.
HIPPOMANES,Extremities,"Violent pain in wrist. Paralysis of wrists. Sprained sensation in wrist. Great weakness of hands and fingers. Weakness in joints of feet, knee, and soles. Chorea. Much weakness after growing too fast."
HIPPOMANES,Relationship,Compare: Caustic.
HIPPOMANES,Dose,Sixth to thirtieth potency.
HERACLEUM SPHONDYLIUM,Head,"Aches, with drowsiness, worse moving in open air, better tying up head with cloth. Much fatty perspiration on head and violent itching. Seborrhoea capitis. Sick headache."
HERACLEUM SPHONDYLIUM,Stomach,Pain with inclination to vomit. Bitter risings and taste. Hungry but unable to eat. Abdominal and spleenic pain.
HERACLEUM SPHONDYLIUM,Dose,Third potency.
HEPATICA TRILOBA,Dose,Second potency.
HEPAR SULPHUR,Mind,"Anguish in the evening and night, with thoughts of suicide. The slightest cause irritates him. Dejected and sad. Ferocious. Hasty speech."
HEPAR SULPHUR,Head,"Vertigo and headache, when shaking the head or riding. Boring pain in the right temple and in root of nose every morning. Scalp sensitive and sore. Humid scald-head itching and burning. Cold sweat on head."
HEPAR SULPHUR,Eyes,"Ulcers on cornea. Iritis, with pus in anterior chamber; purulent conjunctivitis, with marked chemosis, profuse discharge, great sensitiveness to touch and air. Eyes and lids red and inflamed. Pain in the eyes, as if pulled back into the head. Boring pain in upper bones of the orbits. Eyeballs sore to touch. Objects appear red and too large. Vision obscured by reading; field reduced one-half. Bright circles before eyes. Hypopion."
